"democracy","econ_growth","allies","contig","cprt","trade","contdisp","mid"
-0.9,-0.25,0,1,0.0266000008583069,0,1,1
-0.7,0.234999990463257,0,1,0.0192999994754791,0.0020000000949949,0,0
-0.3,-0.526999998092651,0,0,0.10710000038147,0,0,0
0.5,0.228999996185303,0,0,1.60149993896484,0,0,0
-0.9,-1.36499996185303,0,1,0.0107000005245209,0,0,0
-0.7,0.0319999992847443,0,1,0.0119000005722046,0.00300000002607703,0,0
-0.7,0.209999990463257,1,1,0.019099999666214,0.00460000010207295,0,0
-0.8,0.41399998664856,1,1,0.267199993133545,0,0,0
-0.7,-0.0230000004172325,0,1,0.0113999998569489,0.000600000028498471,1,1
-0.9,0.247000002861023,1,1,0.0141999995708466,0,1,1
-0.7,0.317000007629395,0,0,0.831999969482422,0,0,0
-0.7,0.655000019073486,0,1,0.0507000017166138,0,1,1
0.8,0.298000001907349,0,1,0.635,0.00800000037997961,0,0
-0.5,0.0150000005960464,1,0,2.09350006103516,0.000199999994947575,1,1
-1,0.448000001907349,1,1,0.0640999984741211,0.00460000010207295,1,1
0.2,0.217000007629395,1,0,4.45850006103516,0.000199999994947575,0,0
-0.8,-0.521000003814697,1,0,5.78059997558594,0,0,0
0.9,0.444000005722046,0,0,43.3991015625,0,0,0
-0.7,0.285999989509582,0,0,0.0444999980926514,0.0015999999595806,1,1
1,-0.0680000007152557,0,0,78.929599609375,0,0,0
-0.9,0.191999995708466,1,1,0.0161000001430511,0.0124000003561378,1,1
-0.9,-0.609000015258789,1,1,0.101800003051758,0,0,0
-0.9,-0.985000038146973,1,1,0.034300000667572,0.00260000000707805,0,0
-0.6,0.451000022888184,0,0,3.38269989013672,0.000199999994947575,0,0
1,0.208999991416931,0,0,1.46979995727539,0.0007999999797903,0,0
-0.9,-0.423000001907349,0,0,0.635,0,1,1
-0.9,-0.166999995708466,1,1,0.028199999332428,0.00139999995008111,0,0
-0.7,0.659000015258789,0,0,1.99100006103516,0,0,0
-0.2,0.0219999998807907,0,0,0.585299987792969,0,0,0
-0.8,0.10900000333786,1,1,0.0157000005245209,0.00120000005699694,0,0
-0.7,0.000999999977648258,0,1,0.0453999996185303,0.000600000028498471,1,1
-0.7,0.430000019073486,0,0,0.173099994659424,0,1,1
0.8,0.438000011444092,0,0,0.377299995422363,0.00039999998989515,0,0
-0.5,-0.100999999046326,0,0,1.59199996948242,0.000199999994947575,0,0
-0.8,0.405999994277954,0,0,16.6947998046875,0,0,0
-0.7,0.569000005722046,0,1,0.0596999979019165,0,1,1
-0.8,-0.890999984741211,0,0,1.53899993896484,0,1,1
-0.8,0.247000002861023,0,1,0.0179999995231628,0,1,1
-0.7,0.255999994277954,0,0,0.23,0.000199999994947575,1,1
-0.8,0.166999995708466,0,1,0.0748999977111816,0.000600000028498471,0,0
-0.9,0.167999994754791,1,1,0.0235999989509583,0.00039999998989515,0,0
-0.9,-0.0740000009536743,0,0,19.085400390625,0,0,0
-0.9,0.0910000026226044,1,1,0.0104999995231628,0,0,0
-0.7,0.421000003814697,0,1,0.0297000002861023,0.00120000005699694,0,0
-0.9,0.294000005722046,0,0,8.03280029296875,0,0,0
-0.8,0.519999980926514,1,0,1.79770004272461,0,0,0
-0.7,0.525,0,1,0.0509999990463257,0,1,1
-0.3,0.43600001335144,0,1,0.0453000020980835,0.0015999999595806,1,1
-0.7,0.430999994277954,1,1,0.018400000333786,0.00279999990016222,0,0
-0.8,0.226999998092651,0,0,2.21800003051758,0,0,0
-0.5,-0.734000015258789,0,0,0.0286999988555908,0.0007999999797903,0,1
-0.9,0.644999980926514,1,1,0.0114999997615814,0.00139999995008111,0,0
-0.7,0.0479999989271164,0,0,0.102600002288818,0.00260000000707805,0,0
-0.7,0.241000008583069,0,1,0.886100006103516,0.000199999994947575,1,1
1,-0.667000007629394,1,0,3.66200012207031,0.00039999998989515,0,0
-0.7,0.187999999523163,0,0,0.509700012207031,0,0,0
-0.7,0.358999991416931,0,0,2.70209991455078,0,1,1
-0.3,0.475,0,1,0.0448999977111816,0.00120000005699694,0,0
-0.8,0.24300000667572,0,1,0.02,0,0,0
-0.8,-0.378999996185303,0,0,0.115200004577637,0.000199999994947575,0,1
-0.8,0.282999992370605,0,0,29.4472998046875,0,0,0
1,0.374000000953674,0,1,1.48080001831055,0.0007999999797903,0,0
-0.7,0.367000007629395,0,0,0.227800006866455,0,1,1
-0.9,0.298000001907349,0,1,0.37,0,0,0
-0.5,-0.150999999046326,1,0,0.232800006866455,0.00039999998989515,0,0
-0.5,-0.307999992370605,0,1,0.0922999954223633,0.00139999995008111,1,1
-0.7,0.0529999971389771,0,0,2.52110000610352,0,1,1
-0.7,0.196000003814697,0,0,0.0465000009536743,0.0015999999595806,1,1
-0.7,0.14099999666214,0,0,0.0380999994277954,0.00460000010207295,1,1
0.4,0.603999996185303,1,1,0.0576999998092651,0.0007999999797903,0,0
0.9,-0.121000003814697,1,0,1.18629997253418,0.000600000028498471,0,0
-1,0.153999996185303,1,1,0.0225,0,1,1
-0.7,-0.251999998092651,0,0,6.15280029296875,0,0,0
-0.5,-0.734000015258789,0,0,0.16,0.00039999998989515,0,0
0,0.173000001907349,0,1,0.0112000000476837,0.0124000003561378,0,0
0.8,0.149000000953674,0,0,2.89209991455078,0,0,0
-0.5,0.34300000667572,1,1,0.0432000017166138,0.00039999998989515,0,0
0.4,0.128999996185303,0,1,0.0964999961853027,0.00579999992623925,0,0
-0.7,-0.046000000834465,0,0,26.4465991210938,0,0,0
-0.7,0.369000005722046,0,0,2.21729995727539,0,0,0
-0.7,0.317000007629395,0,1,0.0413000011444092,0.00120000005699694,1,1
-0.1,-0.665999984741211,1,1,0.0178999996185303,0.00120000005699694,0,0
-0.9,0.294000005722046,0,0,5.00369995117187,0,0,0
-0.7,0.138999998569489,0,0,0.627000007629395,0,0,0
-0.9,-0.482000017166138,1,1,0.0384999990463257,0.000600000028498471,0,0
-0.9,0.607999992370605,0,1,0.113599996566772,0,1,1
-0.9,-0.667000007629394,0,0,2.10009994506836,0,0,0
-0.7,-0.351999998092651,0,0,0.352900009155273,0.00039999998989515,1,1
-1,-0.137000000476837,0,1,0.425200004577637,0.000199999994947575,0,0
-0.5,-0.100999999046326,0,0,0.311100006103516,0.000600000028498471,0,0
-0.8,-0.300999999046326,1,1,0.021800000667572,0,0,0
0.7,0.519999980926514,0,0,0.370400009155273,0.000199999994947575,0,0
1,-0.238000011444092,0,1,0.467599983215332,0.00340000004507601,0,0
-0.7,0.303999996185303,1,1,0.0228999996185303,0.00700000021606684,0,0
-0.6,-0.195000004768372,1,1,0.103199996948242,0.00039999998989515,0,0
-0.7,0.223000001907349,0,0,0.0523999977111816,0.00419999985024333,0,0
-0.9,-0.342000007629395,0,1,0.0532999992370605,0,0,0
-0.8,0.401999998092651,1,1,0.0923999977111816,0,0,0
